id,judge_score
gov_report-45c9d84fac2d35cc13b5a0b6716a3d1a9a5ccff921c4dd6a,0.3
unified_chip2/51741,0.3
itwgpt4/16903,0.4
unified_chip2/32285,0.8
dolly_15k/classification/195,0.2
unified_chip2/39721,0.9
itwgpt4/19713,0.9
itwgpt4/27404,0.3
unified_chip2/55207,0.7
unified_chip2/113647,0.9
itwgpt4/38398,0.9
unified_chip2/93521,0.8
itwgpt4/30671,0.3
passage_count-a33a5faf2240f04e23ca851214d3be0297e84c0d44f1219f,0.0
hotpotqa-cb677158d6f710ab0cb440b2024cc61c942a1ea4a963087d,0.9
itwgpt4/18688,0.9
triviaqa-f731ff7827b01ec4ccb1b190dd8d46f6ef6b5bee655422e3,0.3
unified_chip2/31159,0.6
unified_chip2/50755,0.3
unified_chip2/91076,0.3
unified_chip2/94054,0.6
multi_news-deb8f47ca915204f3d51aebff28bb1d47f54bc587c46e618,0.0
unified_chip2/148363,0.3
unified_chip2/138074,0.9
unified_chip2/30648,0.9
unified_chip2/95609,0.5
samsum-077ec45959026d33279e561faf3d40eef364d84359adf349,0.0
unified_chip2/162568,0.4
itwgpt4/34147,0.9
multi_news-b614820b1eedec8085ad101203ee5be3fab92a97ba104f79,0.0
unified_chip2/72915,0.4
passage_count-baa7e04094263c0c506dfba932f2a81d6c607f330812a97e,0.1
unified_chip2/5579,0.8
unified_chip2/61000,0.9
unified_chip2/80939,0.9
itwgpt4/41819,0.9
multifieldqa_en-635ad5e3696e0d297f3ea8909d42975a5c1eb49a7f4a8466,0.4
unified_chip2/91795,0.9
itwgpt4/40222,0.7
unified_chip2/3082,0.6
qmsum-67d0e52d92fdafa500ab2a8121549881272965a4f04b416c,
itwgpt4/27012,0.7
unified_chip2/16263,0.8
unified_chip2/136279,0.9
unified_chip2/76964,0.4
itwgpt4/24846,0.3
itwgpt4/37849,0.4
qmsum-92498ad4ae3a40e2277dc3b13e15ef0b501c7dfa1e4acb02,
triviaqa-60abe33b118134872d84707dce259ae03ea1d4c488976321,0.3
unified_chip2/58292,0.9
multi_news-a88f3f2a0e819435260452f5315b17614bea78c797add69d,0.3
itwgpt4/33289,0.3
samsum-bc83a8e90bc7b17d698b5bc6036824545184d9d83226cb17,0.9
unified_chip2/1475,0.8
unified_chip2/17631,0.8
itwgpt4/39627,0.2
dolly_15k/information_extraction/653,0.3
unified_chip2/63637,0.9
unified_chip2/142025,0.9
unified_chip2/31930,0.4
unified_chip2/94019,0.9
unified_chip2/98587,0.9
passage_count-e56ebabb050d77ebfaa26e219fdab56cc348b42543aef4cd,0.0
dolly_15k/general_qa/1168,0.9
unified_chip2/13548,0.2
dolly_15k/general_qa/1789,0.9
unified_chip2/60613,0.95
itwgpt4/2727,0.1
unified_chip2/136342,0.9
unified_chip2/93036,0.6
unified_chip2/21923,1.0
dolly_15k/creative_writing/24,0.9
unified_chip2/152004,0.6
unified_chip2/49831,0.7
unified_chip2/140667,0.95
qasper-6a78dbe4f8e30d35c13ea1f80e52df286f9e1f664f9c3d98,0.1
unified_chip2/66125,0.4
unified_chip2/141636,0.9
unified_chip2/82218,0.1
unified_chip2/135653,0.9
unified_chip2/36761,0.9
unified_chip2/407,0.9
unified_chip2/47093,0.4
unified_chip2/73760,0.7
musique-c858bf26a171d617a8decbb3a67e082b577a5a1166ca15b2,0.3
itwgpt4/31167,0.4
unified_chip2/108994,0.2
unified_chip2/85717,0.9
sharegpt/tLteuIM_0,0.7
gov_report-6f6b6187fc270471899d0ce86ec305328fcee442361be864,0.3
unified_chip2/92898,0.3
unified_chip2/15843,0.9
itwgpt4/50811,0.3
itwgpt4/7958,0.7
unified_chip2/2962,0.4
unified_chip2/58403,0.4
unified_chip2/66688,0.7
hotpotqa-efc793ac73a0341a7cc35ea6872a89be3d4fed5f64c1e043,0.9
itwgpt4/36684,0.0
itwgpt4/44532,0.4
itwgpt4/35202,0.95
unified_chip2/940,0.9
multifieldqa_en-0e2b2bc81542b95fb86a7fe76cf11c52316937c9aac9123e,0.1
hotpotqa-826474c90684b1813df9324f779959a5e060d1cfc893a85f,0.3
dolly_15k/creative_writing/185,0.4
itwgpt4/51841,1.0
itwgpt4/22285,0.8
unified_chip2/23335,0.9
2wikimqa-8f6c8de1c1518b5bdcbc4ff1cdfe035b9207971a6362574f,0.3
itwgpt4/12408,0.4
trec-7aebb78c4dfb93851df88819813a91bdc31fcc524032d622,0.0
itwgpt4/17164,0.9
unified_chip2/62357,0.1
itwgpt4/36015,0.4
unified_chip2/98369,0.3
samsum-0d82921de641c8e965995c4f23bde32c50d6d188ca6c63c1,0.3
unified_chip2/6935,1.0
unified_chip2/53976,0.9
2wikimqa-44864cf7bbca78294d1b24c5acfa035f30849d802356aad4,0.3
2wikimqa-259c17d6e4a5e4c74669836fec3c6de0730bf65e67e6d988,0.2
unified_chip2/127969,0.4
dolly_15k/open_qa/1984,0.9
unified_chip2/42511,0.3
unified_chip2/21047,0.6
unified_chip2/81370,0.9
unified_chip2/25417,0.9
unified_chip2/163409,0.9
unified_chip2/59193,0.7
itwgpt4/40336,0.6
unified_chip2/2120,0.7
dolly_15k/classification/916,0.3
unified_chip2/122292,0.9
unified_chip2/156898,0.8
unified_chip2/117319,1.0
dolly_15k/classification/1664,0.3
triviaqa-88a45fb52808bf7995734def4f87b88e4aeb306697664066,1.0
unified_chip2/109448,0.9
unified_chip2/91244,0.8
unified_chip2/74904,0.7
unified_chip2/111305,0.9
hotpotqa-11b4c60bf00735e20ae817b940d86aa8922e2fcdaa3a0b47,0.9
unified_chip2/51231,0.1
narrativeqa-1c4fffbc6acfb659de69246ce9d1e1a47a7e0df4f07c467e,0.0
sharegpt/4JcVqsY_0,0.4
unified_chip2/57856,0.7
multifieldqa_en-5b978c8d5792b07ad99da0fc2639c6046051e9c29825ad25,0.4
multi_news-e4b27be5d2d4a2f9518155efce2d9b5b799990bd146def3b,0.6
gov_report-63bfe4332c2b9854797561b506336d4a5f5b878b005b6b0b,0.1
unified_chip2/65382,0.95
unified_chip2/59659,0.4
qasper-6eec5b0ef38f64f6a545677f730b4ea1c980db6d380de966,0.1
unified_chip2/157653,0.9
unified_chip2/161594,0.9
unified_chip2/133773,0.8
unified_chip2/68322,0.4
multifieldqa_en-22034e095a602824678c4028e6f605919ce520270dc06089,
2wikimqa-517da14d56782303ccf8ec057b86bf43169b6f2edcd6d0f1,0.7
unified_chip2/126285,0.7
samsum-e207f0cd648c4dd4516b519a490faacd3dae921aac636340,0.1
qmsum-ff786cdb6a86863b5a5c132157cb57abc922c19b049c370d,0.0
sharegpt/3oLfN7b_0,0.4
unified_chip2/85321,0.3
triviaqa-3294708883134d6db6cbaa85b59d1b6fc8d5e01da2550659,0.4
unified_chip2/19760,0.7
hotpotqa-1650b91e6fb722111b6461fc9524295246c3bd3b1a342267,0.9
itwgpt4/22013,0.4
itwgpt4/26269,0.0
unified_chip2/138892,1.0
unified_chip2/26084,0.4
unified_chip2/298,0.4
itwgpt4/7459,0.9
sharegpt/EwRup4L_0,0.3
dolly_15k/open_qa/2832,0.9
unified_chip2/59389,0.5
unified_chip2/114567,0.9
unified_chip2/85361,1.0
unified_chip2/132114,0.9
sharegpt/1pAqRne_0,0.3
unified_chip2/133105,0.5
hotpotqa-7528b0be35e8e6007f07c98b9f2d45ee1c854298134aba5c,0.1
itwgpt4/10778,0.7
unified_chip2/112976,1.0
itwgpt4/41851,0.3
multifieldqa_en-ae5a3edc1bc76fee6fa1aa6557e83bc3cfea0c190763ecce,0.1
dolly_15k/open_qa/3023,0.0
unified_chip2/30163,0.7
multi_news-6dd06d4eee78cfbf3ce2fe6413c681ad6937079daf8a7169,0.9
multi_news-348357789b1ce50b1ac8e572e21e6e5b421d11ac696bd0e1,0.0
dolly_15k/open_qa/1926,1.0
qmsum-6a2ea7cf0cb92105de41e322db410d220312ab98ce2919eb,0.0
itwgpt4/44920,0.4
unified_chip2/42818,0.7
hotpotqa-8a5d7c131d291d2c7cf2c20ea36a629f969402e0c50a8a8a,0.1
unified_chip2/150875,0.6
unified_chip2/132291,0.9
unified_chip2/99956,0.9
trec-67da3217593b0305047b9f3103ebe7fb507112a67d43a27a,0.0
unified_chip2/85148,0.9
unified_chip2/117702,0.9
itwgpt4/10592,0.4
dolly_15k/general_qa/571,0.4
unified_chip2/38637,0.9
itwgpt4/37862,0.4
trec-560d8e7494165e41e5ef1a47ba991d3a84d63e9c9c31d8c8,0.0
musique-102eaee0943270c43f63b7d45a0088f6a8515e51a126d925,0.3
itwgpt4/19689,0.6
hotpotqa-5affd6b287c8ce97502760e33a71598e8eee24b78c3dd95c,0.3
itwgpt4/21952,0.7
qasper-b5481f9dfee2d9dd2154b3396a702c72f00b86508b001651,0.2
triviaqa-99ec5bf16cc7ececd816ee3acb8cb07be56e6a95f1b1f111,1.0
itwgpt4/34671,0.7
passage_retrieval_en-3a8663f0b412dc84f24381a904b283e56f8c17138572ba3c,0.1
unified_chip2/71450,0.7
samsum-b80ec6059b275d67bdce55f73c1de138c0d87c756283f1ad,0.3
dolly_15k/closed_qa/1402,0.5
multi_news-9be57ba61a999b76bd50af15e31946bb634beb32d7e8d31e,0.0
passage_retrieval_en-54efe13a200532d1384f97b2e45f4f61842bd11fcba9ef2b,0.1
multi_news-b52067a71a631691a2448c313aef0dcb0870b66526c87e77,0.0
qmsum-2c3f6a54f59639f9d0389ee4c0fd349ba8c75ef694c635e9,0.0
unified_chip2/6313,0.7
unified_chip2/75085,0.8
unified_chip2/94491,0.9
itwgpt4/39279,0.3
unified_chip2/122377,0.9
samsum-ebb6ad57d4118e3275c3109c5fdeca9299110db1ffda0924,0.3
multifieldqa_en-d2a588e420083f151239e660bd47ec0cad9732ec308ab9bc,0.0
samsum-f610a9277f835ce98ed109bc091260a7df3f1005aca8ec55,0.3
musique-6cbb382cf679c0cf091fbf0d3c6d9638bffbc8ea039ca8b2,0.1
2wikimqa-538d0eac8ec082e93d6f273237fafd1f23fb405e35bad84e,0.3
unified_chip2/116556,0.8
unified_chip2/142181,0.2
itwgpt4/8488,0.9
unified_chip2/25549,0.4
unified_chip2/83622,0.9
unified_chip2/134763,0.6
unified_chip2/35809,0.9
qasper-a8f155f6d0b86040e21fdb913b07c5fa675b82dbacc0674e,0.2
unified_chip2/153046,0.4
unified_chip2/72124,0.4
itwgpt4/18034,0.5
unified_chip2/74244,0.7
unified_chip2/1996,0.95
unified_chip2/59482,0.3
dolly_15k/open_qa/313,0.2
unified_chip2/46536,0.95
unified_chip2/38694,0.9
itwgpt4/41395,0.7
unified_chip2/73761,0.9
unified_chip2/74132,0.4
triviaqa-6967e76c5603d5d218c6aa2ca5af0c03cf3b8bcdeeac1c8d,0.1
multi_news-6387bd7048692c0d8352a7064b552c5406e6a386a2d2cbd2,0.2
unified_chip2/152915,0.0
unified_chip2/62833,0.95
unified_chip2/160032,0.6
dolly_15k/classification/288,0.3
gov_report-44232460c46051f14ff84126be1fa952a911c9d8bffee9d0,0.1
unified_chip2/68693,0.6
unified_chip2/100621,0.4
multifieldqa_en-18ef34b54d2ddc134e1be7cae3d6101432465011d016c77a,0.0
unified_chip2/65240,0.4
unified_chip2/152653,0.7
unified_chip2/19277,0.4
unified_chip2/76620,0.9
unified_chip2/73741,0.6
itwgpt4/22464,0.9
unified_chip2/98926,0.8
2wikimqa-314e76591d11d30d2bd59b2f12b671e873b786656f19956d,0.3
itwgpt4/17444,0.7
narrativeqa-7284b797cdd8a5d15d986be4fc7ed72512fe1d164bb8c0db,0.0
multi_news-3b5368b348fce578138b895df499567d7ca6eec71d0d9473,0.0
2wikimqa-188123e1b35a7de33fc44a40b55ab9ff0b59d29dc30f9148,0.1
triviaqa-7477cce4e63c5782f5696469687bc0d8be9ca1b57a1a8274,0.9
unified_chip2/104748,0.9
multifieldqa_en-b321c147c0e0a8a35ee8738ad89326ecad1509bf591b4233,0.3
unified_chip2/59103,0.4
unified_chip2/8277,0.5
passage_retrieval_en-0572c1fd4c71cdaecbee7a7e8727697ad01d484b8a6aba83,0.0
unified_chip2/129590,0.9
gov_report-a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,0.1
unified_chip2/57157,0.1
unified_chip2/95485,0.6
unified_chip2/123585,0.3
unified_chip2/25668,0.9
dolly_15k/classification/1480,0.7
dolly_15k/open_qa/2305,0.4
itwgpt4/899,1.0
unified_chip2/92665,0.4
hotpotqa-d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,0.1
unified_chip2/128803,0.7
narrativeqa-9ccdedc1bdfe2f5c9c2783c15663113648879dff0f68e94c,0.1
gov_report-9fb60bd9896530a232a2f60b678f1656122cfec5fa2d0bce,0.2
2wikimqa-47ed89f40cae521df8767b1b7077fe9c547c10fd8bf1c6b2,0.0
unified_chip2/112248,0.9
unified_chip2/120373,0.4
unified_chip2/68855,0.9
hotpotqa-75d66ce7bb5fbcea2d942895c0b10144ba9a94282e2e9f15,0.1
unified_chip2/141272,0.9
sharegpt/URV161o_0,0.4
trec-e7e40bf7a9ac82f5a438c6fc369d3208e12296907e42c62a,0.0
unified_chip2/46926,0.7
qasper-ed98266f89745750cb92ebc16c941888f1b0291d405d14e2,0.1
gov_report-ab8303246d0ac5ee12fbaface313b4cf72cda733b7f308ff,0.3
unified_chip2/80401,0.7
2wikimqa-57db7adad0b62b8a396fd45937030d876ecd02153b8a931e,0.0
qmsum-cce23622045135fe365469483bad6bbe18af6cea038052db,
unified_chip2/12575,0.4
itwgpt4/14895,0.9
unified_chip2/146220,0.4
itwgpt4/20569,0.0
samsum-e98469335a1871fe48affa2d2cc8a29a08c2c94b4f219f03,0.4
trec-9587abceff7bb3b9e0f0df6a0a040945a27b7e1eb67c64e5,0.0
unified_chip2/96578,0.9
unified_chip2/79867,0.9
unified_chip2/66354,0.9
unified_chip2/61385,0.9
dolly_15k/open_qa/973,0.2
unified_chip2/162862,0.9
samsum-2515cecdd8be7b91008f8563446511069fec11469d88493e,0.2
itwgpt4/51483,0.4
itwgpt4/37262,0.3
unified_chip2/90454,0.6
unified_chip2/120789,0.9
unified_chip2/8278,0.7
unified_chip2/41883,0.3
musique-79669636487de3810792f2a9a1b4a7c253da580013d1d2fb,0.0
dolly_15k/open_qa/2579,0.7
unified_chip2/131303,0.9
unified_chip2/91425,0.4
unified_chip2/84045,0.2
unified_chip2/73183,0.8
samsum-2c5fa3aaf2cd3b0ecdfa08c040b2f61b55a99a76cf3e1c5b,0.1
unified_chip2/1037,0.9
unified_chip2/53873,0.9
2wikimqa-cf5321576ab8cc1b8453991abac66aa5d46155d8ffa7ee17,1.0
unified_chip2/72753,0.4
unified_chip2/60462,0.3
2wikimqa-655c0c4e465b47d7fd829d3a487705991f4c059cee3c9aed,0.3
unified_chip2/86694,0.7
unified_chip2/165021,
itwgpt4/36918,0.4
passage_retrieval_en-df6abe19bc9f1af9ca18c19f444fb09a2e9a4c1513ae612a,0.1
unified_chip2/112280,0.8
hotpotqa-47b3fb2eb0b90839a7887fa2138662a58c0170c96479190a,0.4
sharegpt/8fC32jy_43,0.9
trec-a12c082b70af2ce8257e73f6072f8b2b9d0d30cac6a06055,0.0
unified_chip2/32460,0.2
itwgpt4/2533,0.2
unified_chip2/31735,0.9
unified_chip2/42145,0.8
unified_chip2/91794,0.9
unified_chip2/117322,0.3
musique-936a34800c73e9d077b058fda4576fc45f8cb03bfae99c04,0.2
itwgpt4/39759,0.4
unified_chip2/33682,0.4
2wikimqa-6110cb2d4156df8d180fdd01e5f340c4731f7d1f4583fc5a,0.1
itwgpt4/37336,0.3
unified_chip2/150442,0.6
multi_news-df0b3cb31b4c78e6a101a0f3931023704055282bffb56c91,0.6
multifieldqa_en-f01044ae4abc16064872421a7dc9b21c98dc2bb4f4b5351a,0.1
unified_chip2/66090,1.0
passage_count-6795b842e5a4cb72c3f93749b20d2bca9dc4b96fd2327729,0.2
sharegpt/qtSFIDC_0,0.9
unified_chip2/6643,0.5
trec-5cc5f5c961f7b577dfaa8358352b7c546639540628871a2a,0.0
unified_chip2/42320,0.7
unified_chip2/27176,0.9
unified_chip2/89964,0.6
multifieldqa_en-a013f691a7063527fa4e7a4b357081c76656af3cd402a27a,0.0
unified_chip2/130739,0.3
sharegpt/eXLdXi6_0,0.8
unified_chip2/22437,0.2
itwgpt4/14125,0.3
unified_chip2/165029,0.9
itwgpt4/31066,0.2
multifieldqa_en-9ac60cf60d4bae1dc93b09f374b74b3dec8b1b333397d7cd,0.1
hotpotqa-d3249d0550c7105bdd4ed60c9ca9d955db08d362574c2086,0.4
multi_news-cd5fba73cf0b38e75ea2e39da56340e1dfa26ae1f746b866,0.0
multi_news-790a06df133bed221bf60fed6fdbff58ddf3755c1b795991,0.1
samsum-8a17b5e513adfe5402e8fa8c3be9cda6b40c1c06a6e6ae16,0.2
unified_chip2/32270,0.7
unified_chip2/107060,0.4
unified_chip2/109238,0.7
unified_chip2/70979,0.9
unified_chip2/106420,0.4
dolly_15k/brainstorming/1357,0.7
dolly_15k/open_qa/2881,0.9
unified_chip2/273,0.8
qmsum-fdd371de2668a6f1e7914fe9a67aef33927ecc392fdc2606,
unified_chip2/121164,0.9
passage_count-3622432ffcd2024f42503a85dcb4b1c08fa904a2f821fd96,0.3
unified_chip2/71206,0.7
unified_chip2/111492,0.6
qmsum-4412a0516765800018512529526321ca4a924fada9e4a139,
itwgpt4/37635,0.0
musique-1f2d53ab7c6e9f6ae863e4bedf1091966ccc1cfb68374b35,0.0
itwgpt4/38577,0.9
multi_news-6c7741bd6cb0b2ea58e8095c9df3d6666b0637df534bbeba,0.0
sharegpt/OvYXTOR_0,0.6
unified_chip2/135421,1.0
unified_chip2/33564,0.9
unified_chip2/157279,0.9
itwgpt4/48757,0.7
multifieldqa_en-2646315b4135b08675c4ab2110dc544058659b9b6aab4752,0.7
2wikimqa-6a60fa19187345478a447b63d8f52a1cb5341e964cda29db,0.4
unified_chip2/94912,0.8
multifieldqa_en-8fbf0a6531d9250e6bcda0c7ba456441f6d4073bf08de826,0.1
unified_chip2/85565,0.6
multifieldqa_en-5a18017502d827b72fc74d91f13f6f14193b4964c3420e47,0.1
dolly_15k/classification/1092,0.3
unified_chip2/115123,0.9
qmsum-90f41f128c1a72bf88a72dfa04a77b726d6993f4379ec4df,0.1
samsum-6b2677b451034aef716068c91304f0ce5e33440ebf8b4620,0.4
unified_chip2/135049,0.9
qasper-85a7083bae278e83df0fea37003937a9294638f488a18a83,0.7
unified_chip2/20174,0.9
itwgpt4/49127,0.9
unified_chip2/33160,0.8
hotpotqa-3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,0.1
samsum-95b1a2ddbee09df194078af17fc50b5d3914e262d44b7336,0.3
multifieldqa_en-4ad542cf320f1c01a4bce92a59628789784cf9722d7d476c,0.3
qasper-894a0e08b526f2093c854d91c680190c898ae6acbc1ba131,0.1
unified_chip2/60198,0.9
unified_chip2/4183,0.9
unified_chip2/514,0.6
unified_chip2/3693,0.9
qmsum-fded50244f8bd8009b811afa71bb452bde5d0aa794066bfd,0.0
itwgpt4/15486,0.9
unified_chip2/18392,0.8
passage_retrieval_en-cea4e7b4aa32882ef84a2d08b2da9df610d6ab4d6f0928a1,0.1
samsum-f0e71c2db6682e5a803cabdda40103b27a3789e639fff1a9,0.4
dolly_15k/open_qa/1442,0.4
dolly_15k/open_qa/3422,0.5
unified_chip2/8937,0.9
unified_chip2/66407,0.9
itwgpt4/46831,1.0
sharegpt/IesEzUf_0,0.3
unified_chip2/91597,0.3
itwgpt4/2497,0.3
hotpotqa-d136a5063f8e7f5594182b51b05d626ca0671aea2ba22226,0.3
qmsum-e63f08352d2ddeaa2966eb24df252ab55577583f3b7da018,
multi_news-56b04e68a1831f7022c05c0813687ac156f795123ecf1b84,0.4
unified_chip2/7466,0.7
unified_chip2/22191,0.95
sharegpt/pYQfK1d_0,0.4
unified_chip2/110701,0.4
sharegpt/2JdPNAJ_18,0.7
unified_chip2/29939,0.6
unified_chip2/55488,0.9
unified_chip2/84881,0.4
unified_chip2/26921,0.4
unified_chip2/138206,0.7
unified_chip2/40903,0.4
itwgpt4/5298,0.4
unified_chip2/105188,0.9
itwgpt4/9097,0.4
unified_chip2/126320,0.2
unified_chip2/165551,0.4
unified_chip2/194,0.3
itwgpt4/46760,0.7
dolly_15k/open_qa/3529,0.9
dolly_15k/information_extraction/417,0.5
unified_chip2/49313,0.3
unified_chip2/149604,0.9
multi_news-fe6c148424a7b65c8e0600ac87fe46d72b7befcada96bb7e,0.3
samsum-6a2889066f8036215df285eb1a817932b5cc088e9254ae4d,0.9
unified_chip2/52557,0.9
unified_chip2/133550,0.9
unified_chip2/77534,1.0
2wikimqa-435fae9b23d8b22e85a57cfd8ceb8541dea5b0c551acc3a9,0.1
passage_retrieval_en-34d58c902bdff0e3a58cd143a2cf1726454321b900196e4a,0.0
itwgpt4/23713,0.4
unified_chip2/29300,0.3
unified_chip2/118725,0.3
unified_chip2/118977,0.9
unified_chip2/73687,0.8
unified_chip2/66051,0.7
unified_chip2/118610,0.8
multifieldqa_en-032ee1448dec7751d00cd9f752fc61c5843a47e49dd7fcb6,0.3
unified_chip2/90443,0.9
unified_chip2/27506,0.8
samsum-69353f9250a942cd899f379c999e0661f1d480c18c5d93be,1.0
itwgpt4/32628,0.4
itwgpt4/41346,0.6
unified_chip2/67862,0.8
unified_chip2/120216,0.4
unified_chip2/43058,0.9
trec-c0495d43f7080033aae75ceba1655c35742bbdf36cf74186,0.0
itwgpt4/20328,0.4
itwgpt4/38404,0.9
dolly_15k/general_qa/421,0.1
unified_chip2/56178,0.3
musique-9747157702dd161d08b47a241d23256b0055cd503ee4dadf,0.0
unified_chip2/86453,0.7
unified_chip2/11888,0.3
unified_chip2/111696,0.4
unified_chip2/163248,0.9
dolly_15k/general_qa/320,0.2
unified_chip2/161359,0.9
unified_chip2/72854,0.4
unified_chip2/59088,0.4
unified_chip2/30598,0.9
unified_chip2/162283,0.7
unified_chip2/72187,0.4
unified_chip2/71111,0.9
unified_chip2/94730,0.6
unified_chip2/62238,0.9
triviaqa-48eecd282ea1caad90288fc989dcf396596312e7b0f0558a,0.3
unified_chip2/13558,0.9
qmsum-30da039b34de89757a048d6ada97c24def61dc30a7706b77,
unified_chip2/160306,0.6
itwgpt4/4570,0.6
dolly_15k/general_qa/1990,0.9
unified_chip2/58772,0.9
itwgpt4/6095,0.3
passage_retrieval_en-524b876981e9c000a6129fbed44891de778cdf383365d0b7,0.2
sharegpt/929B9l9_0,0.9
sharegpt/ptNV0Pf_0,0.8
unified_chip2/5821,0.9
unified_chip2/37359,0.7
unified_chip2/116123,0.9
unified_chip2/161451,0.7
unified_chip2/145035,0.95
qmsum-5dbc2db3da6a9bdb08c6a8e2cbe75a5e5eea7df3c933c0f0,
itwgpt4/3535,0.6
unified_chip2/122611,0.95
dolly_15k/general_qa/2110,0.9
sharegpt/s5O6mtB_0,0.9
passage_count-8c20fed66eced3bab4687ad0b91764c0d7192c8ffc90f601,0.0
unified_chip2/4181,0.4
unified_chip2/97136,0.3
itwgpt4/45377,0.2
unified_chip2/120099,0.9
itwgpt4/6188,0.9
hotpotqa-c16a3dd0b5b97180359715cab5c41d528cf2a99e2744f037,0.9
unified_chip2/112799,0.9
itwgpt4/1803,0.8
qmsum-3ea9e37eb926855d2b4d18a264f1ff2e13c99be8c3bb35db,
samsum-b14c862a69ef6cdaedefc6a8f71f652cc06dc44c3eed3f55,0.3
unified_chip2/151548,0.9
unified_chip2/26547,0.4
qasper-3bb91d7f22ae15ff9fc6475233052ad0981ad7e812f7eaa7,0.2
unified_chip2/142834,0.9
itwgpt4/32338,0.3
unified_chip2/108631,0.4
itwgpt4/48402,0.6
unified_chip2/1211,
itwgpt4/49679,0.4
unified_chip2/144034,0.95
dolly_15k/general_qa/1650,0.9
unified_chip2/78502,0.7
unified_chip2/96080,0.7
unified_chip2/89537,0.8
unified_chip2/113929,0.5
2wikimqa-ef73e58876b94a997d928ee13b7ac7cdb8b8aa0bac856a92,0.0
musique-45b3ff5fd17fddc64c647566139dadd2693cf4488c0e6ec7,0.4
unified_chip2/84333,0.6
itwgpt4/50820,0.2
qasper-4c9552eec5c238657f8ed5237bf66067d3fdda2409a903b6,0.1
passage_count-494cc175f26ba8a3d54ff7016ede86cc2c6eb6652c759f48,0.0
unified_chip2/70357,0.9
laion/unified_chip2/7010,1.0
hotpotqa-232c2ba7b8bb5f22b77e5c55961d0cd0fe673d26870e157b,0.3
unified_chip2/121452,0.8
unified_chip2/21603,0.9
itwgpt4/6860,0.4
unified_chip2/58001,0.9
unified_chip2/61978,0.9
dolly_15k/brainstorming/1040,0.8
unified_chip2/53061,0.0
